model,SSD-Config,RAID-Type,Usable-Physical-TiB,Usable-Mirror-TiB,CPU-Overhead,Ram-Overhead
unit,,,TiB,TiB,vCore,GB
380-XS,5 x 960GB SSD,RAID5,2.6,1.3,4,64
380-S,5 x 1.92TB SSD,RAID5,5.5,2.75,4,69
380-M,9 x 1.92TB SSD,RAID6,9.9,4.95,6,108
380-L,12 x 1.92TB SSD,RAID6,14.4,7.2,6,114
380-XL,12 x 3.84TB SSD,RAID6,29.7,14.85,6,283
325-XS,4 x 1.92 SSD,Mixed RAID,4.2,2.1,6,45
325-S,6 x 1.92 SSD,Mixed RAID,6.9,3.45,6,48
2600,6 x 1.92 SSD,Mixed RAID,6.9,3.45,6,48
380G-7.5TB,6 x 1.92 SSD,Mixed RAID,6.9,3.45,6,48
380G-10.6TB,8 x 1.92 SSD,Mixed RAID,9.7,4.85,8,72
380G-15TB,12 x 1.92 SSD,Mixed RAID,14,7,8,92
380G-21TB,16 x 1.92 SSD,Mixed RAID,19.3,9.65,8,116
380H-SFF20TB,4 x 1.92TB SSD and 20 x 1.2TB 10K HDD,Mixed RAID,18.8,9.4,6,112
380H-LFF25TB,4 x 1.92TB SSD and 8 x 4TB 7.2K HDD,Mixed RAID,22.8,11.4,6,130